No,Title,Author,Year,Type,Keywords,Process,Process overview,Type (acc. author),Type (top-down/bottom-up),Domain
1,Subjective Knowledge Base Construction Powered By Crowdsourcing and Knowledge Base,"Xin H,Meng R,Chen L",2018,Domain specific,"Crowdsourcing, Knowledge Base Construction, Subjective Knowledge","1. Core subjective KB construction
2. Subjective KB Enrichment
2.1. Entity and property extraction
2.2. Partial-order mining
2.3. Crowdsourced instance annotation
2.4. Knowledge base enrichment","we propose a two-staged framework for subjective knowledge base construction using hybrid knowledge from both crowd workers and existing KBs. The framework consists of core subjective KB construction and subjective KB enrichment. Firstly, we try to build a core subjective KB mined from Probase and DBpedia, where each entity has rich objective properties. Then, we populate the core subjective KB with instances extracted from DBpedia. The crowd is leverage to annotate the subjective property of the instances. In order to optimize the crowd annotation process, we formulate it as a cost-aware instance annotation problem and propose two instance annotation algorithms, i.e., adaptive instance annotation and batch-mode instance annotation algorithms. We evaluate our framework on real knowledge bases and a real crowd-sourcing platform, the experimental results verify the effectiveness of our proposed approach",Workflow,Top-down,Crowdsourcing
2,A domain knowledge graph construction method based on Wikipedia,"Yu H, Li H, Mao D, Cai Q",2020,Domain specific,Co-word analysis; domain knowledge graph; relationship extraction; vector variance algorithm; Wikipedia,"1. Domain knowledge (from Wikipedia)
2. Relationship extraction 
3. Domain knowledge graph optimisation","we proposed the corresponding methods to extract classification and non-classification relationships based on the structured, semi-structured and unstructured knowledge in Wikipedia; the framework of the domain knowledge graph construction method is shown in Figure 1",Framework,Bottom-up,Food
3,A retrospective of knowledge graphs,"Jihong YAN, Chengyu WANG, Wenliang CHENG, Ming GAO, Aoying ZHOU",2018,Methodological,"knowledge graph, knowledge base, information
extraction, logical reasoning, graph database","0. Data source
1. Knowledge graph building
  1.1. Reasoning and inference
    1.1.1. Rule learning using logical inference
    1.1.2. Graph-based inference and learning algorithm 
    1.1.3. Entity and relation embedding based inference
    1.1.4. Statistical relation learning
  1.2. Relation extraction
    1.2.1. Relation classification (Feature-based extraction, Kernel-based extraction)
    1.2.2. Pattern-based relation extraction
    1.2.3. Open relation extraction
    1.2.4. Word embedding-based relation extraction
    1.2.5. High-order relation formation
  1.3. Entity extraction
     1.3.1. from semi-structured data
     1.3.2. from unstructured data
     1.3.3. Entity linking
2. Knowledge graph storage and management","he framework of a KG Based on this figure, we can get an overall picture of the field, which helps us understand the relation between each component and the entire field. We discuss in detail about the process of building knowledge graphs, and survey state-of-the-art techniques for automatic knowledge graph checking and expansion via logical inferring and reasoning. We also review the issues of graph data management by introducing the knowledge data models and graph databases, especially from a NoSQL point of view.",Framework,Bottom-up,
4,Machine Knowledge: Creation and Curation of Comprehensive Knowledge Bases,Weikum Dong LRazniewski S et al.,2020,Methodological,,"1. Knowledge integration from premium sources
1.1. Category cleaning
1.2. Alignment between knowledge sources
1.3. Graph based alignment

2. Entity discovery and typing
2.1. Dictionary-based entity spotting
2.2. Pattern-based methods
2.3. Sequence labeling
2.4. Word and entity embedding
2.5. Ab-initio taxonomy construction

3. Entity canonicalisation
3.1. Entity matching
3.2. Popularity, similarity and coherence measures
3.3. Optimisation and learning-to-rank methods
3.4. Other ML methods (..)

4. Attributes and relationships extraction
4.1. Pattern-based and rule-based extraction
4.2. Extraction from semi structured contents
4.3. Neutral extraction

5. Open schema construction
5.1. Open information extraction for predicate discovery
5.2. Seed based discovery of properties 
5.3. Property canonicalization

6. Knowledge base curation
6.1. KB quality assessment
6.2. KB completeness
6.3. Rules and constraints
6.4. Knowledge graph embeddings
6.5. Consistent knowledge cleaning
6.6. KB lifecycle","The outlined design space and the highlighted options are by no means complete, but merely reflect some of the prevalent choices as of today. We will largely use this big picture as a “roadmap” for organizing material in the following chapters. However, there are further options and plenty of under explored (if not unexplored) opportunities for advancing the state of the art in knowledge harvesting",Roadmap,Bottom-up,
5,Towards Knowledge Graph Construction using Semantic Data Mining,"Sharafeldeen D
Algergawy A
Konig-Ries B",2019,Domain specific,"Knowledge graph construction, Association rules, Data mining","1. Preprocessing
1.1. Selection and cleaning
1.2. Entity disambiguation 1.3. Formatting
2. Processing - knowledge graph construction
2.1. Association rules extraction
2.2. Association rules visualisation
3. Post processing 3.1. Linking Geonames, ORCid
3.2. Graph deployment
4. KG enrichment","we introduce a semantic data mining-based approach for a biodiversity knowledge graph construction. The proposed workflow, as shown in Fig. 1, has four main steps: preprocessing, processing, post-processing, and enrichment/explanation. In the following paragraphs, we illustrate the construction steps. We explain our proposed approach using a real-world dataset from the BE project linking to additional open sources of biodiversity-related information",Workflow,Bottom-up,Biodiversity
6,An Automatic knowledge graph construction system for K-12 Education,"Chen P, Lu Y, Zheng V, Chen X, Li X",2018,Domain specific,"Knowledge Graph, Educational Concept, K-12 Education,Online Learning","1. Educational concept extraction
1.1. Data collection (Educational Material Data)
1.2. Data preprocessing
1.3. Concept extraction
2. Educational relation identification
2.1. Relation type selection
2.2. Data collection (teaching and learning data)
2.3 Relation identification (among education concepts)",,Architecture,Bottom-up,Education
7,Scalable Knowledge Graph Construction over Text using Deep Learning based Predicate Mapping,"Mehta A, Singhal A, Karlapalem K",2019,Domain specific,"Knowledge Graph, Predicate Mapping, Deep Learning, Scalability,Sentence Simplification","1. Entity Mapping 2. Sentence Simplifier
3. Co-reference Resolution 4.Triple Extractor 5. Metadata Processing
6. Predicate mapping","1. Entity Mapping component maps the entities in the text triples to the DBpedia entities. 2. Sentence Simplifier which simplifies sentences before triple extraction step to overcome limitations of triple extraction on complex sentences. 3. Co-reference Resolution component which finds and replaces all the expressions that refer to the same entity in the text.
4.Triple Extractor that uses information extraction techniques to extract relation triples from text (called text triples). 5. Metadata Processing component prepares and stores the set of candidate DBpedia predicates for a given text predicate, that could possibly be the mapping. 6. Predicate Mapping component maps a text triple’s predicate to its matching predicate in DBpedia namespace.",Pipeline,Bottom-up,DBpedia
8,AliMeKG: Domain Knowledge Graph Construction and Application in E-commerce,"Li F., Chen H., Xu G., Qiu T., Ji F., Zhang J., Chen H.",2020,Domain specific,"E-commerce, Pre-Sales Customer Service, Domain Knowledge Graph","1. Identify POI, PV and User problem from the data source
1.1. POI (point of interest) mining
1.1.1. Heuristic rules phrase mining
1.1.2. POI classification
1.1.3. Crowdsourcing training
1.2. User problem mining
1.2.1 Heuristic rules phrase mining
1.2.2. Problem classification
1.2.3. Crowdsourcing training
1.3. CPV (category-property-value)&IPV(item-property-value) mining
1.3.1. QA Pairing
1.3.2. Scene Classification
1.3.3. IPV Mining
1.3.4. Polarity judgement
1.3.5. IPV Normalization
1.3.6. IPV Filtering
2. Relation extraction
3. Crowdsourcing
4. POI relational knowledge","We present our knowledge mining process in Fig. 3. In general, it includes two parts:node miningandlink prediction. The Process takes as input data source, which includes chatlog, itemdetail pages and item articles, firstly extract nodes, then establish links, and finally output structured knowledge. During the process,crowdsourcing is employed as the primary way for KG quality inspection. Each sub-process, including crowdsourcing, has been automated in our production environment and is scheduled to run periodically",Process,Top-down,E-commerce
9,Towards smart healthcare management based on knowledge graph technology,"L Huang, C Yu, Y Chi, X Qi, H Xu",2019,Domain specific,Smart healthcare management; knowledge graph;healthy diet;machine learning; knowledge service,"1. Data sources: 1.1. KB based on symptoms
1.2. Unstructural/structural data
2. Named entity recognition
2.1 Entity extraction
2.2. Property extraction
3. Relation recognition (relation extraction)
4. Knowledge supplement (entity relevance computation)
5. Knowledge fusion
5.1. Entity construction 5.2. Relation construction
5.3. Entity alignment",This paper developed a knowledge graph construction model that can integrate heterogeneous information and improve the quality of resources available for healthcare management and showed the smart knowledge services based on the knowledge graph. The paper mainly focused on how to integrate the data from different sources and formats and organize the extracted knowledge into a good representation. The research model using machine learning and natural language processing etc. provided a better way to manage knowledge in smart healthy die,Process,Top-down,Healthcare
10,Automatic Construction of Subject Knowledge Graph based on Educational Big Data,"Y Su, Y Zhang",2020,Domain specific,knowledge graph; normalized google distance; point mutual information; BERT-BILSTM-CRF; intelligent education,"1. Identification of core knowledge points
2. Recognition of knowledge points 3. Knowledge point association assessment 3.1. Semantic similarity of knowledge points
3.2. Semantic relevance of knowledge points
4. Construction of subject KG","this paper proposes an automatic construction method of Chinese subject knowledge graph based on educational big data.
this paper proposes a bootstrapping method for construction of subject knowledge graph. Firstly we extracts core knowledge points from the subject syllabus, and evaluates the connection between knowledge points based on educational big data, thereby complete the construction of the core subject knowledge graph. Then, based on this core knowledge graph, more new knowledge points will be identified further and merged into the subject knowledge graph, and the connections between knowledge points are evaluated. Thus the subject knowledge graph is updated through this continuous iteration until no more knowledge points and connections could be found.",Method,Bottom-up,Education
11,Automatic knowledge base construction from scholarly documents,"RA Al-Zaidy, CL Giles",2017,Domain specific,Scholarly documents; knowledge base; taxonomy construction,"1. Document collection
2. Parser
2.1. PDF parse
2.2. Lexical parser
3. Hearst patterns
4. Entity-relation extractor
4.1.Syntactic based extract
4.2. Iterative semantic learn
5. Taxonomy graph constructor
5.1. Modifier merge
5.2. Simple merge
5.3. Vertical merge","The pipeline of our system is shown in Figure 1. Given a set of documents in PDF format, the system generates a taxonomy represented as a graph. Thee system is comprised of three main modules: a parser, an entity-relation extractor, and a taxonomy graph constructor. The first module in the pipeline is the Parser. This is a syntactic parser that extracts dependency-paths to identify noun phrases. This module passes a set of parsed sentences to the next phase. The Entity-Relation Extractor and the Taxonomy Graph Constructor are described in the next two sections.",Pipeline,Bottom-up,Education
12,Research on construction and application of TCM knowledge graph based on ancient Chinese texts,"Y Zhou, X Qi, Y Huang, F Ju",2019,Domain specific,"ancient Chinese books, knowledge graph, traditional Chinese medicine","1. Chinese text segmenting and tagging tools
2. Automatic extraction of professional concept attributes
3. Ontology creating and editing tool
4. Validation settings 4.1. Characteristic rules
4.2 Key nodes",,Framework,Top-down,Healthcare / medicine
13,Research and application of semi-automatic construction of structured knowledge graph,"H Hu, H Yun, Y He, X Zhang, Y Yun",2019,Domain specific,Knowledge graph; Ontology; Semantic mapping; Neo4j graph database,"1. Importing data
2. Semantic mapping
3. Viewing the graph","This paper designs a semi-automatic knowledge graph tool, whose functional design framework is shown in Figure 2. The graph system mainly contains three functional modules: import data, semantic mapping and view graph",Framework,Bottom-up,
