Full,,,I level tasks,,,II level tasks,,,III level tasks,
Relation extraction,12,,Knowledge fusion,8,,Relation extraction,10,,Crowdsourcing training,2
Entity extraction,12,,Knowledge extraction,5,,Entity extraction,10,,Rule learning using logical inference,1
Knowledge fusion,8,,Information extraction,4,,Entity alignment,6,,Graph-based inference and learning algorithm,1
Entity alignment,7,,Relation extraction,3,,Attribute extraction,6,,Entity and relation embedding based inference,1
Attribute extraction,6,,Ontology construction,3,,Entity disambiguation,4,,Statistical relation learning,1
Ontology construction,5,,Data preparation,6,,Entity linking,3,,"Relation classification (Feature-based extraction, Kernel-based extraction)",1
Knowledge extraction,5,,Data collection,3,,Ontology construction,3,,Pattern-based relation extraction,1
Entity linking,4,,Data acquisition,3,,Quality evaluation,3,,Open relation extraction,1
Entity disambiguation,4,,Knowledge storage,3,,Entity matching,2,,Word embedding-based relation extraction,1
Named entity recognition,4,,Knowledge processing,3,,Knowledge graph embeddings,2,,High-order relation formation,1
Information extraction,4,,Knowledge representation,3,,Data preprocessing,2,,semi-structured data,1
Data acquisition,4,,Preprocessing,2,,Concept extraction,2,,unstructured data,1
Quality evaluation,4,,Named entity recognition,2,,Property extraction,2,,Entity linking,1
Data preparation,3,,Entity extraction,2,,Instance matcher,2,,Heuristic rules phrase mining,1
Entity recognition,3,,Blocking,2,,Schema matcher,2,,POI classification,1
Data collection,3,,Knowledge graph construction,2,,Named entity recognition,2,,Problem classification,1
Ontology modeling,3,,Data,2,,Entity recognition,2,,QA Pairing,1
Knowledge processing,3,,Knowledge base,2,,Entity and property extraction,1,,Scene Classification,1
data preparation,3,,Knowledge graph,2,,Partial-order mining,1,,IPV Mining,1
Entity matching,2,,Ontology modeling,2,,Crowdsourced instance annotation,1,,Polarity judgement,1
Preprocessing,2,,Data extraction,2,,Knowledge base enrichment,1,,IPV Normalization,1
Data preprocessing,2,,Data schema,2,,Reasoning and inference,1,,IPV Filtering,1
Concept extraction,2,,Data processing,2,,Category cleaning,1,,Infobox properties extraction,1
Heuristic rules phrase mining,2,,Quality evaluation,2,,Alignment between knowledge sources,1,,Abstract extraction,1
Crowdsourcing training,2,,Knowledge update,2,,Graph based alignment,1,,Category extraction,1
Property extraction,2,,Application,2,,Dictionary-based entity spotting,1,,Type inference,1
Knowledge linking,2,,Data fusion,2,,Pattern-based methods,1,,"Others (Redirects, internal links, external links, related pages)",1
Blocking,2,,Extraction,2,,Sequence labeling,1,,Stream filtering,1
Instance matcher,2,,Knowledge acquisition,2,,Word and entity embedding,1,,Entity label extraction,1
Schema matcher,2,,Core subjective KB construction,1,,Ab-initio taxonomy construction,1,,Wikipedia (OE) synchronizing,1
Knowledge graph construction,2,,Subjective KB Enrichment,1,,"Popularity, similarity and coherence measures",1,,Cross-lingual Transformation,1
Data,2,,Domain knowledge (from Wikipedia),1,,Optimisation and learning-to-rank methods,1,,Entity search,1
Data integration,2,,Relationship extraction,1,,Other ML methods (,1,,Seed synchronizing,1
Knowledge inference,2,,Domain knowledge graph optimisation,1,,Pattern-based and rule-based extraction,1,,Entity expansion,1
Data extraction,2,,Data source,1,,Extraction from semi structured contents,1,,Expanded entities synchronizing,1
 Data schema,2,,Knowledge graph building,1,,Neutral extraction,1,,Using entity labels,1
Data processing,2,,Knowledge graph storage and management,1,,Open information extraction for predicate discovery,1,,Punctuation cleaning,1
 Knowledge representation,2,,Knowledge integration from premium sources,1,,Seed based discovery of properties,1,,Extending Synonyms,1
Knowledge update,2,,Entity discovery and typing,1,,Property canonicalization,1,,Matched pairs into generator to get frequent set of property pairs,1
 Application,2,,Entity canonicalisation,1,,KB quality assessment,1,,Rule constructor,1
Extraction,2,,Attributes and relationships extraction,1,,KB completeness,1,,Matching rules applied for data to get matched properties,1
knowledge graph construction,2,,Open schema construction,1,,Rules and constraints,1,,Sentence detection,1
Manual editing,2,,Knowledge base curation,1,,Consistent knowledge cleaning,1,,Lemmatisation,1
Knowledge acquisition,2,,Processing - knowledge graph construction,1,,KB lifecycle,1,,POS tagger,1
Conference resolution,2,,Post processing,1,,Selection and cleaning,1,,Tokenisation,1
Knowledge storage,2,,KG enrichment,1,,Formatting,1,,Demantic type extraction,1
Knowledge assessment,2,,Educational concept extraction,1,,Association rules extraction,1,,Definition extraction,1
Core subjective KB construction,1,,Educational relation identification,1,,Association rules visualisation,1,,Synonym extractor,1
Subjective KB Enrichment,1,,Relation identification (among education concepts),1,,"Linking Geonames, ORCid",1,,Conference resolution,1
Entity and property extraction,1,,Entity Mapping,1,,Graph deployment,1,,Entity disambiguation,1
Partial-order mining,1,,Sentence Simplifier,1,,Data collection (Educational Material Data),1,,Knowledge merging,1
Crowdsourced instance annotation,1,,Co-reference Resolution,1,,Relation type selection,1,,Evaluation,1
 Knowledge base enrichment,1,,Triple Extractor,1,,Data collection (teaching and learning data),1,,Correctness,1
Domain knowledge (from Wikipedia),1,,Metadata Processing,1,,POI (point of interest) mining,1,,Completeness,1
Relationship extraction,1,,Predicate mapping,1,,User problem mining,1,,Error detection,1
Domain knowledge graph optimisation,1,,"Identify POI, PV and User problem from the data source",1,,Heuristic rules phrase mining,1,,Error correction,1
Data source,1,,Crowdsourcing,1,,CPV (category-property-value)&IPV(item-property-value) mining,1,,Knowledge source detection,1
Knowledge graph building,1,,POI relational knowledge,1,,KB based on symptoms,1,,Knowledge source integration,1
Reasoning and inference,1,,Data sources:,1,,Unstructural/structural data,1,,Duplicate detection,1
Rule learning using logical inference,1,,Relation recognition (relation extraction),1,,Entity construction,1,,Property-value-statement correction,1
Graph-based inference and learning algorithm,1,,Knowledge supplement (entity relevance computation),1,,Relation construction,1,,,
Entity and relation embedding based inference,1,,Identification of core knowledge points,1,,Semantic similarity of knowledge points,1,,,
 Statistical relation learning,1,,Recognition of knowledge points,1,,Semantic relevance of knowledge points,1,,,
"Relation classification (Feature-based extraction, Kernel-based extraction)",1,,Knowledge point association assessment,1,,PDF parse,1,,,
Pattern-based relation extraction,1,,Construction of subject KG,1,,Lexical parser,1,,,
Open relation extraction,1,,Document collection,1,,Syntactic based extract,1,,,
 Word embedding-based relation extraction,1,,Parser,1,,Iterative semantic learn,1,,,
High-order relation formation,1,,Hearst patterns,1,,Modifier merge,1,,,
from semi-structured data,1,,Entity-relation extractor,1,,Simple merge,1,,,
from unstructured data,1,,Taxonomy graph constructor,1,,Vertical merge,1,,,
Knowledge graph storage and management,1,,Chinese text segmenting and tagging tools,1,,Characteristic rules,1,,,
Knowledge integration from premium sources,1,,Automatic extraction of professional concept attributes,1,,Motivation of the ontology,1,,,
Category cleaning,1,,Ontology creating and editing tool,1,,Competency questions,1,,,
